name,address,rankingPosition,rawRanking,priceLevel,numberOfReviews,priceRange,description,cuisines/0,cuisines/1,cuisines/2,cuisines/3,cuisines/4,cuisines/5,cuisines/6,cuisines/7
Zonozono Shinsaibashi,"1-19 Higashi Shinsaibashi Wisteria Shinsaibashi 3F, Chuo, Osaka 542-0083 Osaka Prefecture",179,3.3256185054779053,$$$$,20,"$3,000 - $3,999",,Japanese,Barbecue,Vegetarian Friendly,,,,,
Manje,"2-3-22 Yokoen, Yao 581-0086 Osaka Prefecture",1,3.3243274688720703,$$ - $$$,62,,,Japanese,,,,,,,
Malaysia Boleh,"1-4-20 Oyodominami, Kita-ku, Osaka 531-0075 Osaka Prefecture",380,3.331195831298828,$$ - $$$,42,,,Asian,Malaysian,Thai,Vegetarian Friendly,,,,
Smorrebrod Kitchen Nakanoshima,"1-2-10 Nakanoshima, Kita-ku Nakanoshima Library 2F, Osaka 530-0005 Osaka Prefecture",378,3.3324649333953857,$$ - $$$,36,,,Cafe,,,,,,,
Craft Burger co. (Dojima),"2-1-40 Dojima, Kita-Ku Shin Dojima Bldg. 1F, Osaka 530-0003 Osaka Prefecture",375,3.3331356048583984,$$ - $$$,17,"$1,000 - $2,000",Craft Burger co. use only the finest ingredients to create an exciting range of unique gourmet burgers.,American,Bar,Cafe,,,,,
"Kohaku, Shinosaka","5-16-1 Nishinakajima, Yodogawa-Ku 2F Arde Shinosaka, Osaka 532-0011 Osaka Prefecture",383,3.327326774597168,,32,,,French,Japanese,,,,,,
Vietnam Shuhan Bia Hoi,"2-15 Kakudacho, Kita-ku B1F, Osaka 530-0017 Osaka Prefecture",381,3.33061957359314,$$ - $$$,54,"$1,000 - $5,000",地下鉄御堂筋線 梅田駅 から徒歩で5分。座席数88席,Vietnamese,Asian,Healthy,Street Food,Beer restaurants,,,
Osaka Grilled Beef Kobe Aburi Bokujo,"2-8-11 Shibata Kita-ku Kyoei Bldg. 1F, Osaka 530-0012 Osaka Prefecture",377,3.332765817642212,$$ - $$$,29,"$4,000 - $10,000",,Japanese,Barbecue,Steakhouse,,,,,
"Outback Steakhouse, Umeda","1-6-20 Dojima, Kita-ku, Osaka 530-0003 Osaka Prefecture",371,3.33540678024292,$$ - $$$,56,,,Steakhouse,Bar,Pub,,,,,
The Bar,"2-5-25 Umeda, Kita-ku The Ritz-Cartlon, Osaka, Osaka 530-0001 Osaka Prefecture",382,3.3280906677246094,$$$$,49,"$2,000 - $10,000","With 460 beverages, including a wide selection of malt whiskies and unique martinis, The Bar is perfect for an evening of relaxation and fun. To further your pleasure, choose from our selection of 16 varieties of cigars. With your favorite drink in hand, relax to a live jazz piano performance in this chic, stately bar for a pleasant evening in Osaka, Japan.* A cover charge of 1,850 yen per person is applied during the period of live entertainment at night. *All seats are non-smoking.",Bar,,,,,,,
Sumiyakishoten Yo Amuza,"2-9-17 1F Amuza 1000, Sennichimae, Chuo, Osaka 542-0074 Osaka Prefecture",12,3.333035945892334,$$ - $$$,24,"$500 - $3,500",,Pub,,,,,,,
NOKA Roast & Grill,"3-60 Ofukacho, Kita-ku 20F InterContinental Hotel Osaka, Osaka 530-0011 Osaka Prefecture",384,3.3272955417633057,$$$$,109,"$5,000 - $10,500","Bring your friends and family to enjoy the same fresh ingredients and delicious dishes, always prepared with passion by our chefs. Explore our new menu options, where you can choose to have individually plated dishes or shared them with a limited number of guests. Dine with the same pleasant comfort, in a different setting. Please note that additional hand-washing stations are be deployed and we have reviewed floor plans and seating capacities to respect the most recent and highest health standards.",International,European,Vegetarian Friendly,Vegan Options,,,,
Nanbantei,"4-5-7, Namba, Chuo, Osaka Osaka Prefecture",29,3.3181087970733643,$,37,,,Japanese,,,,,,,
Gempin Hozenji,"1-1-13, Namba, Chuo, Osaka 542-0076 Osaka Prefecture",27,3.3359575271606445,$$$$,42,"$4,500 - $6,000",,Japanese,Pub,Seafood,,,,,
Moeyo Mensuke,"5-12-21 Fukushima, Fukushima-Ku, Osaka 553-0003 Osaka Prefecture",388,3.3258936405181885,$$ - $$$,40,,,Asian,,,,,,,
Bistrot d'Anjou,"2-6-18 Shinsaibashisuji Shinsaibashi Hayakawa Bldg. B1, Chuo, Osaka 542-0085 Osaka Prefecture",185,3.3223626613616943,$$ - $$$,32,,,French,,,,,,,
IPPUDO Nagahori,"3-11-28 Minamisenba Tatsuno Shinsaibashi Building, Chuo, Osaka 542-0081 Osaka Prefecture",177,3.3270106315612797,$,45,,"Ippudo, our ramen restaurant, was first established in 1985 in Hakata, Fukuoka. Currently in 2017, we have over 100 stores throughout Japan. In 1990, our founder, Shigemi Kawahara, entered the Hall of Fame for winning the the ramen competition of the show, ""TV Champion"" three consecutive times. Then in 2005, he gained the title ""Noodle King"" after coming in 1st in the ""Largest Ramen Competition in History to Decide the Noodle King"". In 2008, our first store outside of Japan was opened in New York. Now, we have stores in London, Paris, Singapore, Hong Kong, Taiwan, Sydney, and in other countries all around the world, totaling 60 stores. Ippudo is the force driving the global ramen fever. We innovate and build the ""global standard of ramen shops"" all over the world by ensuring not only our delicious tasting ramen but also our great service and atmosphere. We will continue to share our authentic tonkotsu ramen, that we have pursued to the highest quality, throughout the world.",Japanese,Asian,,,,,,
Ginza Kagari Lucua Osaka,"3-1-3 Umeda, Kita-Ku B2F Lucua Osaka, Osaka 530-0001 Osaka Prefecture",386,3.3261117935180664,$$ - $$$,39,,,Japanese,,,,,,,
Nishiya Honten,"1-18-18 Higashi Shinsaibashi, Chuo, Osaka 542-0083 Osaka Prefecture",184,3.32246732711792,$$ - $$$,66,"$1,000 - $8,000",心斎橋駅 徒歩2分! 和の赴きある佇まいの老舗うどん屋で自家製のもちもち生うどんやこだわりのお出汁を使ったお料理をお楽しみ頂けます。しゃぶしゃぶやすき焼きなどの鍋料理もご提供しております。当日でもご注文可能！ ◆お席◆ ・掘りごたつ個室(4~8名様用) ・座敷個室(30名~72名様用) ・座敷個室(4名~6名様用) ◆登録商標海鮮鍋「うどんちり」&名物「しゃぶしゃぶ」 ◆ 厳選された山海の食材を特製ポン酢でお召し上がり頂くお酒に合うお鍋。黒毛和牛のしゃぶしゃぶは絶品! 〆は「にし家」のうどん!もちろんお替り自由です!,Japanese,Kappo,,,,,,
Cafe Taiyou no To Honten,"2-3-12 Nakazakinishi, Kita-ku pilot bld. 1F, Osaka 530-0016 Osaka Prefecture",370,3.335515022277832,$$ - $$$,32,,,Cafe,,,,,,,
Bistro Bambina,"2-1-21 Umeda, Kita-ku 1f, Osaka 530-0001 Osaka Prefecture",425,3.3087968826293945,,28,,"[1 minute walk from Umeda Station] Satisfy your stomach with meat! Enjoy [All-You-Can-Eat Triple Meat] at an astonishing price of 1,299 JPY.",Italian,Dining bars,,,,,,
Yamaya Umeda,"5-1 Kakudacho, Kita-Ku Umeda Rakutenchi Bldg. 1F, Osaka 530-0017 Osaka Prefecture",421,3.310124158859253,$$ - $$$,51,,,Kyushu cuisine,,,,,,,
Yoneya Umeda Honten,"2-5 Kakudacho, Kita-Ku North Mall 1, Whity Umeda, Osaka 530-0017 Osaka Prefecture",430,3.3080406188964844,$$ - $$$,51,"$1,000 - $3,000",,Japanese,,,,,,,
Nana's Green Tea Grand Front Osaka,"4-20 Ofukacho Kita-Ku Grand Front Osaka South Wing 4F, Osaka 530-0011 Osaka Prefecture",422,3.309994697570801,$$ - $$$,53,,,Japanese,,,,,,,
Live Kitchen Cooka,"1-1-43 Abenosuji Osaka Marriott Miyako Hotel 19F, Osaka 545-0052 Osaka Prefecture",426,3.308790683746338,$$ - $$$,85,,,Asian,International,,,,,,
Indian Restaurant Shama,"1-3-7 Kitahorie, Nishi-Ku B1F Kurasho Bldg., Osaka 231-0023 Osaka Prefecture",424,3.3099048137664795,$,35,,,Indian,Asian,Vegetarian Friendly,Vegan Options,,,,
Momiji,"9-19 Ikutamacho, Tennoji-ku, Osaka 543-0071 Osaka Prefecture",417,3.3132097721099854,$$ - $$$,28,,,Japanese,,,,,,,
"Kanichahan no Mise, Eki Marche Osaka","3-1-1 Umeda, Kita-ku Eki Marche Osaka, Osaka 530-0001 Osaka Prefecture",429,3.308485269546509,$$ - $$$,44,,,Chinese,Japanese,Seafood,,,,,
"Hokkaido Oentai Kitaichi Sakaba, Umeda","1-5-18 Sonezakishinchi, Kita-ku Zero Kitashinchi Building 6F, Osaka 530-0002 Osaka Prefecture",428,3.308489799499512,$$ - $$$,28,"$3,000 - $5,000","Fresh seafood is being handled. Please eat our proud dish. When having come to Umeda, by all means, please use us.",Japanese,Sushi,Pub,,,,,
Cabbage Yaki Nanbanaka,"1-18-18 Nanbanaka, Naniwa-ku, Osaka Osaka Prefecture",431,3.30713415145874,$,33,,,Japanese,,,,,,,
Kobe Beef GURURI,"3-1-8 Hiranomachi, Chuo, Osaka 541-0046 Osaka Prefecture",195,3.313649654388428,$$$$,26,"$6,000 - $8,000","Kobe Beef GURURI Kobe Beef restaurant in Yodoyabashi, Osaka. High quality meat is carefully selected and served as an exquisite a la carte dish. A Kobe beef specialty restaurant located 8-minute walk from Yodoyabashi Station. Kobe Beef, the highest order of Wagyu beef, is brilliantly transformed by the chef's skill and technique. Please enjoy Kobe beef in all its glory in a variety of styles, including the finest steaks, roast beef and seared sushi. A wide range of wines are available to match the high-quality meat. Wines from the famous Kenzo Estate winery are always available. Lunch is a more reasonably priced way than dinner to savour the taste of Kobe Beef. The menu of Kobe Beef Hitsumabushi is a top choice. It can be used for various occasions such as family dinners, dates, and anniversaries. Please enjoy Kobe Beef, the pride of Japan, at this hideaway steak restaurant with an adult atmosphere.",Japanese,Steakhouse,,,,,,
"Kamukura, Eki Marche Shin-Osaka","5-16-1 Nishinakajima, Yodogawa-ku Eki Marche Shin-Osaka, Osaka 532-0011 Osaka Prefecture",415,3.314071655273437,$,69,,,Asian,,,,,,,
Jiyuken Namba Honten,"3-1-34, Namba, Chuo, Osaka 542-0076 Osaka Prefecture",31,3.3147406578063965,$$ - $$$,140,,,,,,,,,,
pit master VAMOS Fukushima,"8-1-1 Fukushima, Fukushima-Ku, Osaka 553-0003 Osaka Prefecture",413,3.314699172973633,$$ - $$$,19,"$4,000 - $5,000","Outdoor party x Bar x Extraordinary space! A thick red meat steak you rarely see! The professional BBQ cook [pit master] who is allowed to cook will make it with love![Access]JR Osaka Loop line Fukushima Station 3-minute walk[Close]Irregular holidays[Cards Accepted]VISA, MasterCard, JCB, American Express, Diners Club",,,,,,,,
Sweet Basil,"1-11-9 Oyodominami, Kita-ku 2f, Osaka 531-0075 Osaka Prefecture",408,3.3154489994049072,$$ - $$$,49,"$1,000 - $5,000",Thai Restaurant Sweetbasil established since 2001. Our restaurant’s policy is serving fresh Thai foods without using MSGs. And we think most of famous Thai dishes are spicy and tasty. We offer real Thai foods to customers.,Asian,Thai,,,,,,
Gogoichi Hourai Nanba Station,"5-1-60, Namba, Chuo, Osaka Osaka Prefecture",33,3.30579161643982,$$ - $$$,44,,,Chinese,,,,,,,
Otako Dotonbori,"1-4-16, Dotombori, Chuo, Osaka 542-0071 Osaka Prefecture",36,3.317948341369629,$,44,,,Japanese,,,,,,,
Fukutaro,"5-1-18, Namba, Chuo, Osaka Osaka Prefecture",30,3.317305564880371,$$ - $$$,64,,,Asian,Japanese,,,,,,
Hog's Head Pub,"2-1-33 Sakurajima, Konohana-ku Universal Studio Japan, Osaka 554-0031 Osaka Prefecture",419,3.31145453453064,$$ - $$$,51,,,,,,,,,,
Beer Belly,"1-1-31 Tosabori, Nishi-Ku, Osaka 550-0001 Osaka Prefecture",406,3.3168816566467285,$$ - $$$,32,,,Bar,Pub,Brew Pub,Vegetarian Friendly,,,,
Tempura no Yama,"3-9-2 Sembahigashi 1F COM No.7, Mino 562-0035 Osaka Prefecture",2,3.3046679496765137,$,56,"$800 - $1,000",,Japanese,,,,,,,
Yayoiken Nihonbashi,"1-5-13 Nihonbashi, Nippombashi, Chuo, Osaka 542-0073 Osaka Prefecture",7,3.3062193393707275,$,40,,,Japanese,International,,,,,,
Sushi Yoshi,"2-3-23 Minamimorimachi, Kita-ku, Osaka Osaka Prefecture",435,3.305220365524292,$$$$,22,,,Japanese,Sushi,Asian,,,,,
Menya Joroku,"6-16 Nambasennichimae, Chuo, Osaka 542-0076 Osaka Prefecture",190,3.316054105758667,$,46,"$800 - $1,000",,,,,,,,,
Juza Special Yakisoba Shop Dotonbori,"1-7-21 1F Chuza Side Kuidaore Bldg., Dotombori, Chuo, Osaka 542-0077 Osaka Prefecture",37,3.31539249420166,$$ - $$$,26,,,Japanese,Asian,,,,,,
Okonomiyaki Sakura,"9-10 Kakudacho, Kita-Ku Shin-Umeda Shokudogai, Osaka 530-0017 Osaka Prefecture",423,3.3099191188812256,$$ - $$$,53,,,Street Food,Japanese,,,,,,
Tsuruhashi Fugetsu Honten,"2-18 Shimoajiharacho, Tennoji-Ku, Osaka 543-0025 Osaka Prefecture",434,3.3057305812835693,$$ - $$$,57,"$1,000",,Japanese,,,,,,,
Sakura,"1-4-1 Shiromi Hotel New Otani Osaka 18F, Chuo, Osaka 540-8578 Osaka Prefecture",193,3.314767837524414,$$$$,36,"$5,000 - $25,000",,French,,,,,,,
Daikichi,"2-4-28 Sakaebashicho, Sakai-ku, Sakai Osaka Prefecture",4,3.296891689300537,$$ - $$$,37,,,Japanese,,,,,,,
Kamukura Sennichimae,"1-7-3, Dotombori, Chuo, Osaka 542-0071 Osaka Prefecture",39,3.2972664833068848,$$ - $$$,39,"$800 - $1,000",,,,,,,,,
"Yamaya, Eki Marche Osaka","3-1-1 Umeda, Kita-ku 1F Eki Marche Osaka, Osaka 530-0001 Osaka Prefecture",454,3.2976608276367188,,34,,,Japanese,,,,,,,
Kyu Yamutei,"6-4-23 Tanimachi, Chuo, Osaka 542-0012 Osaka Prefecture",207,3.2978527545928955,$$ - $$$,35,,,Indian,Cafe,,,,,,
"Chinese Restaurant Soryukyo, Temman Ekimae","1-24 Naniwacho, Kita-ku JL Temman Ekimae Bldg. 1&2F, Osaka 530-0022 Osaka Prefecture",453,3.297748327255249,$$ - $$$,37,,,Chinese,,,,,,,
Bubutei,"1-1-3 Shibata, Kitaku, Osaka 530-0012 Osaka Prefecture",445,3.2994627952575684,,43,,,Japanese,,,,,,,
Dashichazuke En Eki Marche Osaka,"3-1-1 Umeda, Kita-ku Eki Marche Osaka, Osaka 530-0001 Osaka Prefecture",446,3.299433708190918,$$ - $$$,48,,,Japanese,,,,,,,
Sanuki Udon Byakuan,"6-12-7 Niitaka Yodogawa-Ku Miwa Mansion 1F, Osaka 532-0033 Osaka Prefecture",456,3.2963967323303223,$,37,,,Japanese,,,,,,,
Nara,"1-3-4 Dojima Kita-Ku, Osaka 530-0003 Osaka Prefecture",450,3.2981297969818115,,24,,,Japanese,Asian,Cambodian,Kappo,,,,
bills Osaka,"3-1-3 Umeda, Kita-Ku Lucua1100 7F, Osaka 530-0001 Osaka Prefecture",448,3.2992262840271,$$ - $$$,63,$12 - $28,"Every Bill Granger’s restaurant reflects the spirit we like to think of as ‘Australian’: sunny, easy-going and generous. Bill opened his first restaurant in Sydney’s Darlinghurst in 1993. It soon became loved for its legendary breakfasts, served at the famous central communal table, where locals and travellers, families and friends, continue to be welcomed. Twenty years later, Bill’s relaxed, friendly and infectious joy in good, fresh food has become truly global, and is enjoyed at his restaurants in Sydney, Seoul, Tokyo, Honolulu and London.",Australian,Cafe,International,Contemporary,Healthy,Vegetarian Friendly,Vegan Options,
Gogoichi Hourai Nanba Walk,"2, Namba, Chuo, Osaka Osaka Prefecture",36,3.2979869842529297,$$ - $$$,47,,,Chinese,,,,,,,
Kobegyu Wanomiya Kita Shinsaibashi,"3-8-11 Minamisemba Shinsaibashi Motomura Bldg. 1F, Chuo, Osaka 542-0081 Osaka Prefecture",204,3.2993927001953125,,15,,【全席カウンターの上質空間で味わう、a5ランク神戸牛ステーキ】 心斎橋駅から徒歩5分、南船場にある神戸牛ステーキ、鉄板焼き専門店「神戸牛 和ノ宮 北心斎橋店」。凛とした空気が漂う黒が基調の和モダンな店内は、カウンター席のみで構成された上質な大人の空間。目の前の鉄板で焼き上げるステーキをご堪能いただけます。大切な方との記念日や接待・忘年会利用に、最大10名様まで貸切も可能です。 厳選の目利きにより一頭買いで仕入れた「a5ランク霜降り神戸牛」をぜひご賞味ください。,Japanese,Steakhouse,Grill,,,,,
Fujimaru Jozosho,"1-1-14 Shimanouchi 1F Miwa Bldg., Chuo, Osaka 542-0082 Osaka Prefecture",205,3.2989823818206787,$$ - $$$,42,,,Wine Bar,,,,,,,
Yasai to Wine No Omise V'Tres Plus Uranamba,"14-6 Namba Sennichimae, Chuo, Osaka 542-0075 Osaka Prefecture",202,3.300194263458252,$$ - $$$,36,"$2,500 - $3,000",We are open on Saturdays and Sundays from 15:00 on.,Italian,French,Japanese,Bar,Pub,Fusion,Wine Bar,
Jiyuken Tenpozan,"1 Kaigandori, Minato-Ku Tempozan Market Place 2F Naniwa Kuishinbo Yokocho, Osaka 552-0022 Osaka Prefecture",442,3.3014793395996094,$$ - $$$,96,"$800 - $1,000",,Asian,Japanese,,,,,,
Ujien Shinsaibashi Honten,"1-4-20 Shinsaibashisuji, Chuo, Osaka 542-0085 Osaka Prefecture",201,3.302041292190552,$$ - $$$,45,,,,,,,,,,
Nankai grill Sakai Station,"3-22-1 Ebisujimacho, Sakai-ku, Sakai Osaka Prefecture",3,3.304046392440796,$$ - $$$,54,,,Steakhouse,,,,,,,
Tanto,"2-1-2-112 Minamitsukaguchi-cho, Amagasaki 661-0012 Hyogo Prefecture",2,3.294926166534424,$$ - $$$,44,,,Italian,,,,,,,
Uoi Tengo,"5-5-5 Tenjimbashi, Kita-Ku, Osaka 530-0041 Osaka Prefecture",440,3.3027536869049072,$$ - $$$,45,,,Japanese,,,,,,,
Steak House Kozai,"1-17-15 Shinsaibashi Higashi Shinsaibashi Marukiyo Building 2F, Chuo, Osaka 542-0083 Osaka Prefecture",211,3.2946937084198,$$$$,32,,,Japanese,Steakhouse,Asian,International,,,,
Tully's Coffee Grand Front Osaka Katakan 9F,"3-1 Ofukacho, Kita-Ku 9F Grand Front Osaka North Tower, Osaka 530-0011 Osaka Prefecture",457,3.29632568359375,$$ - $$$,43,,,Cafe,,,,,,,
Tsuruhashi Fugetsu Umeda Ohatsutenjin-dori,"2-16-22 Sonezaki, Kita-ku Jasmine Sonezaki Bldg. B1&2F, Osaka 530-0057 Osaka Prefecture",459,3.2952163219451904,$$ - $$$,52,"$800 - $1,000",,Japanese,Asian,,,,,,
Ekuchuakarahori,"6-17-43 Tanimachi, Chuo, Osaka 542-0012 Osaka Prefecture",210,3.295048952102661,$$ - $$$,31,"$1,000 - $3,000",,Cafe,,,,,,,
Taikoen,"9-10 Amijimacho, Miyakojima-ku, Osaka 534-0026 Osaka Prefecture",436,3.304293394088745,$$ - $$$,39,,"Taiko-En was born from the ritzy, stylish residence of Baron Denzaburo Fujita, a heavyweight of Kansai economic community. On the premises is spread a Japanese-style garden beloved by the baron. Water is drawn from the nearby river Okawa, and the babbling stream, pond and monolithic stone bridge give elegance together with blooming trees and flowers. Viewing the historical value and natural beauty, you will forget your being in a big city. This is a sanctuary away from the hustle and bustle.",French,Japanese,Cafe,,,,,
Ikkaku Nishiumeda,"1-3-26 Sonezaki Shinchi, Kita-Ku, Osaka 530-0002 Osaka Prefecture",466,3.294382095336914,$$ - $$$,57,,,Japanese,,,,,,,
Namba Udon,"3-2-14, Namba, Chuo, Osaka 542-0076 Osaka Prefecture",34,3.302919149398804,$,33,,,Japanese,,,,,,,
Hariju Grill Dotonbori Honten,"1-9-17, Dotombori, Chuo, Osaka 542-0071 Osaka Prefecture",38,3.3148553371429443,$$ - $$$,52,"$1,000 - $3,000",,Grill,,,,,,,
Aizuya Umeda,"3-2-136 Umeda, Kita-ku, Osaka 530-0001 Osaka Prefecture",418,3.312116861343384,$$ - $$$,77,,,Japanese,,,,,,,
Torikizoku,"13-10 Nambasennichimae, Osaka 542-0075 Osaka Prefecture",492,3.2893664836883545,$,49,,,Japanese,,,,,,,
Koh Samui by Chedi Luang,"2-2-22 Umeda, Kita-Ku Herbis Plaza Ent 3F, Osaka 530-0001 Osaka Prefecture",494,3.289179801940918,$$ - $$$,43,"$1,500 - $4,000","Thai government approved 5 star certification (100 certified shops during restaurant, 11 domestic restaurants only）",Thai,,,,,,,
"Red Lobster, Universal City Walk Osaka","6-2-61 Shimaya, Konohana-ku 5F Universal City Walk Osaka, Osaka 554-0024 Osaka Prefecture",489,3.2897703647613525,$$ - $$$,62,,"We provide Muslim friendly menu to Muslim. Our Muslim-friendly policy are below. Muslim-friendly menu available. All ingredients in Muslim-friendly menu are from halal-certified suppliers and although it’s prepared in the same kitchen as non-halal meals, separate kitchenware is used to prepare the meals. Do note that dining utensils are the same as non-halal meals but you can request for disposable utensils. MENU : Beef Bowl 1,290 JPY *Double beef +800 JPY Butter Chicken Curry 1,290 JPY Vegetable Penne 1,290 JPY",Seafood,American,Pizza,International,Vegetarian Friendly,,,
Jinen Unagidani Minami Dori,"1-8-26 Higashishinsaibashi, Chuo, Osaka 542-0083 Osaka Prefecture",218,3.289472341537476,$$ - $$$,54,,,Japanese,Sushi,Seafood,,,,,
Suzune,"1-17-11 Higashi Shinsaibashi Hotel Felice Shinsaibashi 1F, Chuo, Osaka 542-0083 Osaka Prefecture",219,3.2892837524414062,$$ - $$$,16,"$500 - $3,000","Sushi, Sashimi, Kushiyaki Bar. You can enjoy fresh fish and grilled cuisine with Japanese whiskey. Opens until morning.",Japanese,Seafood,Sushi,,,,,
Honke Otako Hozenji,"1-1-6, Namba, Chuo, Osaka 542-0076 Osaka Prefecture",39,3.2901923656463623,$$ - $$$,51,,,Japanese,Vegetarian Friendly,,,,,,
Spicy Club,"4-7-15 Higashimikuni, Yodogawa-ku Esutoriburu 1F, Osaka 532-0002 Osaka Prefecture",491,3.2894203662872314,,10,,Cocktails & Pizza,Italian,Bar,Pub,,,,,
Sushi Gin,"2-3-8 Tsuruhashi Ikuno-Ku, Osaka Osaka Prefecture",477,3.2927463054656982,$$ - $$$,29,,,Japanese,Seafood,Sushi,,,,,
Osaka Heichinro,"1-8-16 Umeda, Kitaku The Hilton Plaza East 7F, Osaka 530-0001 Osaka Prefecture",476,3.2927746772766118,$$$$,55,"$5,000 - $10,000","Chinese cuisine is known for its extravagant food such as dried abalone, shark’s fin and bird’s nest. However, the most important philosophy of Chinese cookery is maintaining the health of people. We offers you an exceptional seafood menu with the finest seasonal ingredients.",Chinese,,,,,,,
"Kushikatsu Daruma, Kitashinchi","1-5-25 Sonezaki Shinchi, Kita-ku, Osaka 530-0002 Osaka Prefecture",480,3.2922253608703613,$$ - $$$,57,"$1,000 - $3,000",Kushikatsu Daruma is most famous restaurant in Osaka.We specialize in kushikatsu shop. We are not good at English a little but a foreign language menu is also available. It is about 10 minutes on foot from Osaka Station. Please come to the store.,Japanese,,,,,,,
CHIBO,"2-5-25 Umeda, Kita-Ku Herbis Plaza B2F, Osaka 530-0001 Osaka Prefecture",467,3.294124126434326,$$ - $$$,49,"$950 - $2,500","A long-established authentic okonomiyaki store! Enjoy a deliciousness unique to CHIBO. A store of Osaka's famous okonomiyaki and teppanyaki. Using carefully selected ingredients, we prepare varieties of quality cuisine pursuing the feeling of satisfaction. For allergic, religious, or any such reasons, if there are any ingredients or dishes you cannot consume please notify our staff. We will meet your queries as kindly and courteously as possible. We can receive reservations from organisations at any time. Please feel free to contact us with your budget and needs. We cordially await visits from everyone overseas.",Japanese,Grill,Japanese Fusion,,,,,
Daiki Suisan Sushi-Go-Round ( Kaitensushi ) Nanba City,"5-1-60, Namba, Chuo, Osaka Osaka Prefecture",38,3.29343318939209,$$ - $$$,135,,南海電鉄本線 難波駅 から徒歩で1分のショッピング街、なんばcity内にあります！近くには、なんばウォークや百貨店などあるので お買い物ついでに寄るには最適な場所に立地しています。 なんばcityの南館の１階、飲食店が並ぶ、ちょうど真ん中ほどに お店があります。 駐車場もあり、クレジットカードも使用可能です。 テイクアウトもあるので、通りかかったときに立ち寄り、 家でゆっくり食べることも可能です。,Japanese,Sushi,Asian,,,,,
Chinese Restaurant Karin,"1-3-1 Dojimahama ANA Crowne Plaza Hotel Osaka 6F, Osaka 530-0004 Osaka Prefecture",471,3.2936336994171143,$$$$,65,"$1,500 - $7,500","Authentic and delicate flavours of traditional Cantonese cuisine are combined with the essence of ""nouvelle chinois"", or new-style Chinese cuisine. Large and small private rooms are available upon request.",Chinese,Asian,,,,,,
Steakhouse Loin,"1-1-35 Shibata, Kita-ku Hotel New Hankyu Osaka B1F, Osaka 530-8310 Osaka Prefecture",470,3.293787002563477,$$$$,34,"$8,000 - $20,000","This steakhouse preserves the original red-brick look it had when it was first established, as well as its traditional flavors. We offer a range of choices, from top-quality A5 grade brand steaks and Japanese black cattle beef to reasonably priced Australian steak. Our chefs demonstrate their polished technique - they really know how to grill that steak just right!-before your eyes. We also have six rooms that accommodate parties of six and up. We're an ideal place for get-togethers with family and friends, too.",Japanese,Steakhouse,,,,,,
Rokkakutei Kuromon Honten,"1-21-16 2F Takoso Bldg., Nippombashi, Chuo, Osaka 542-0073 Osaka Prefecture",8,3.294062376022339,$$$$,49,,,Japanese,,,,,,,
Genji,"2-14-14 Tamadehigashi, Nishinari-ku Grace Tezukayama 1F, Osaka 557-0043 Osaka Prefecture",469,3.293930053710937,$$ - $$$,25,,,International,,,,,,,
Dining Ajito,"4-20 Namba Sennichimae, Chuo, Osaka 542-0075 Osaka Prefecture",221,3.287968635559082,$$ - $$$,36,,,Bar,Pub,,,,,,
The Blarney Stone Irish Pub Umeda,"2-10-15 Sonezaki, Kita-ku Sonezaki Center Bldg.6F, Osaka 530-0057 Osaka Prefecture",495,3.288801670074463,$$ - $$$,39,"$500 - $2,200","Welcome to The Blarney Stone Irish Pubs, the bars & restaurants that are in the heart of Osaka. They are the ideal places to enjoy great food and drinks with friends and meet interesting people. Entertaining free live music from Friday to Sunday. Don't miss our amazing Saturday nights with the best bands in town, but come early to get in so you don't miss out on a great time! Our bilingual foreign and Japanese staff look forward to meeting you and giving you a great Irish experience in Osaka.",Irish,Bar,Pub,European,,,,
Zenen Nishi Umeda,"2-5-25 Umeda, Kita-Ku Herbis Plaza B2F, Osaka 530-0001 Osaka Prefecture",499,3.287444591522217,$$ - $$$,48,"$1,200 - $15,000","【西梅田駅徒歩4分 ハービスplaza地下】梅田での接待・慶事・記念日に。静かに語らう2～20名様個室。 郷愁を誘う懐石コースは6.655円(税サ込)～台湾の名建築「少帥禅園」への憧憬を映し出す設え。禅の精神が生きる空間で語らいのひと時をお過ごしください。■ 6つの禅園 優美な完全個室空間悠久2～20名様／真砂4～10名様／山華2～4名様 他■ ご接待に。風土・風景を映し出す懐石桜色(さくらいろ)コース 5,500円花緑青(はなろうくしょう)コース 6,500円空五倍子色(うつぶしいろ)コース 10,500円 他老舗料亭で20年余、研錬を積んだ料理長が、旬食材で日本の四季を演出します。4名様以上で「飲み放題コース」もご利用いただけます。■ お顔合わせに。金と紅白で大胆に演出慶事懐石 煌(きらめき)コース 6,500円 他■ 名物 明石天然真鯛の鯛飯お米マイスターがブレンドした米と真鯛を、専用土鍋でほくほくと炊き上げ。各懐石の仕上げに登場いたします。※記載の価格は税抜です。",Japanese,Kaiseki,Japanese Fusion,,,,,
Katsudon Hozen-ji Yokocho,"1-1-18, Namba, Chuo, Osaka Osaka Prefecture",37,3.295449733734131,$$ - $$$,60,,,Japanese,Asian,,,,,,
Asia Shitamachi Shokudo Thainy & Vietny,"2-10-70 Nanbanaka2, Naniwa-ku Mamba Parks 6F, Osaka 551-0011 Osaka Prefecture",488,3.289968729019165,$,9,,,Thai,Vietnamese,,,,,,
